Date,年,季,月,月份名稱,年份月份,星期,工作日,年週序,交通匹配欄
2000/11/3 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週五,平日,2000W45,非參考日
2000/11/30 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週四,平日,2000W49,週2-4
2000/11/4 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週六,週末,2000W45,週六
2000/11/5 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週日,週末,2000W45,週日
2000/11/6 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週一,平日,2000W46,非參考日
2000/11/7 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週二,平日,2000W46,週2-4
2000/11/8 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週三,平日,2000W46,週2-4
2000/11/9 上午 12:00:00,2000,Q4,11,11月,2000-Nov,週四,平日,2000W46,週2-4
2000/12/1 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週五,平日,2000W49,非參考日
2000/12/10 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週日,週末,2000W50,週日
2000/12/11 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週一,平日,2000W51,非參考日
2000/12/12 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週二,平日,2000W51,週2-4
2000/12/13 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週三,平日,2000W51,週2-4
2000/12/14 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週四,平日,2000W51,週2-4
2000/12/15 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週五,平日,2000W51,非參考日
2000/12/16 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週六,週末,2000W51,週六
2000/12/17 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週日,週末,2000W51,週日
2000/12/18 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週一,平日,2000W52,非參考日
2000/12/19 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週二,平日,2000W52,週2-4
2000/12/2 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週六,週末,2000W49,週六
2000/12/20 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週三,平日,2000W52,週2-4
2000/12/21 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週四,平日,2000W52,週2-4
2000/12/22 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週五,平日,2000W52,非參考日
2000/12/23 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週六,週末,2000W52,週六
2000/12/24 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週日,週末,2000W52,週日
2000/12/25 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週一,平日,2000W53,非參考日
2000/12/26 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週二,平日,2000W53,週2-4
2000/12/27 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週三,平日,2000W53,週2-4
2000/12/28 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週四,平日,2000W53,週2-4
2000/12/29 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週五,平日,2000W53,非參考日
2000/12/3 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週日,週末,2000W49,週日
2000/12/30 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週六,週末,2000W53,週六
2000/12/31 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週日,週末,2000W53,週日
2000/12/4 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週一,平日,2000W50,非參考日
2000/12/5 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週二,平日,2000W50,週2-4
2000/12/6 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週三,平日,2000W50,週2-4
2000/12/7 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週四,平日,2000W50,週2-4
2000/12/8 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週五,平日,2000W50,非參考日
2000/12/9 上午 12:00:00,2000,Q4,12,12月,2000-Dec,週六,週末,2000W50,週六
2000/2/1 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週二,平日,2000W6,週2-4
2000/2/10 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週四,平日,2000W7,週2-4
2000/2/11 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週五,平日,2000W7,非參考日
2000/2/12 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週六,週末,2000W7,週六
2000/2/13 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週日,週末,2000W7,週日
2000/2/14 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週一,平日,2000W8,非參考日
2000/2/15 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週二,平日,2000W8,週2-4
2000/2/16 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週三,平日,2000W8,週2-4
2000/2/17 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週四,平日,2000W8,週2-4
2000/2/18 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週五,平日,2000W8,非參考日
2000/2/19 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週六,週末,2000W8,週六
2000/2/2 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週三,平日,2000W6,週2-4
2000/2/20 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週日,週末,2000W8,週日
2000/2/21 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週一,平日,2000W9,非參考日
2000/2/22 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週二,平日,2000W9,週2-4
2000/2/23 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週三,平日,2000W9,週2-4
2000/2/24 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週四,平日,2000W9,週2-4
2000/2/25 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週五,平日,2000W9,非參考日
2000/2/26 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週六,週末,2000W9,週六
2000/2/27 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週日,週末,2000W9,週日
2000/2/28 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週一,平日,2000W10,非參考日
2000/2/29 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週二,平日,2000W10,週2-4
2000/2/3 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週四,平日,2000W6,週2-4
2000/2/4 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週五,平日,2000W6,非參考日
2000/2/5 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週六,週末,2000W6,週六
2000/2/6 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週日,週末,2000W6,週日
2000/2/7 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週一,平日,2000W7,非參考日
2000/2/8 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週二,平日,2000W7,週2-4
2000/2/9 上午 12:00:00,2000,Q1,02,2月,2000-Feb,週三,平日,2000W7,週2-4
2000/3/1 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週三,平日,2000W10,週2-4
2000/3/10 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週五,平日,2000W11,非參考日
2000/3/11 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週六,週末,2000W11,週六
2000/3/12 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週日,週末,2000W11,週日
2000/3/13 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週一,平日,2000W12,非參考日
2000/3/14 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週二,平日,2000W12,週2-4
2000/3/15 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週三,平日,2000W12,週2-4
2000/3/16 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週四,平日,2000W12,週2-4
2000/3/17 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週五,平日,2000W12,非參考日
2000/3/18 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週六,週末,2000W12,週六
2000/3/19 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週日,週末,2000W12,週日
2000/3/2 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週四,平日,2000W10,週2-4
2000/3/20 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週一,平日,2000W13,非參考日
2000/3/21 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週二,平日,2000W13,週2-4
2000/3/22 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週三,平日,2000W13,週2-4
2000/3/23 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週四,平日,2000W13,週2-4
2000/3/24 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週五,平日,2000W13,非參考日
2000/3/25 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週六,週末,2000W13,週六
2000/3/26 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週日,週末,2000W13,週日
2000/3/27 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週一,平日,2000W14,非參考日
2000/3/28 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週二,平日,2000W14,週2-4
2000/3/29 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週三,平日,2000W14,週2-4
2000/3/3 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週五,平日,2000W10,非參考日
2000/3/30 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週四,平日,2000W14,週2-4
2000/3/31 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週五,平日,2000W14,非參考日
2000/3/4 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週六,週末,2000W10,週六
2000/3/5 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週日,週末,2000W10,週日
2000/3/6 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週一,平日,2000W11,非參考日
2000/3/7 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週二,平日,2000W11,週2-4
2000/3/8 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週三,平日,2000W11,週2-4
2000/3/9 上午 12:00:00,2000,Q1,03,3月,2000-Mar,週四,平日,2000W11,週2-4
2000/4/1 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週六,週末,2000W14,週六
2000/4/10 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週一,平日,2000W16,非參考日
2000/4/11 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週二,平日,2000W16,週2-4
2000/4/12 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週三,平日,2000W16,週2-4
2000/4/13 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週四,平日,2000W16,週2-4
2000/4/14 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週五,平日,2000W16,非參考日
2000/4/15 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週六,週末,2000W16,週六
2000/4/16 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週日,週末,2000W16,週日
2000/4/17 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週一,平日,2000W17,非參考日
2000/4/18 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週二,平日,2000W17,週2-4
2000/4/19 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週三,平日,2000W17,週2-4
2000/4/2 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週日,週末,2000W14,週日
2000/4/20 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週四,平日,2000W17,週2-4
2000/4/21 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週五,平日,2000W17,非參考日
2000/4/22 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週六,週末,2000W17,週六
2000/4/23 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週日,週末,2000W17,週日
2000/4/24 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週一,平日,2000W18,非參考日
2000/4/25 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週二,平日,2000W18,週2-4
2000/4/26 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週三,平日,2000W18,週2-4
2000/4/27 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週四,平日,2000W18,週2-4
2000/4/28 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週五,平日,2000W18,非參考日
2000/4/29 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週六,週末,2000W18,週六
2000/4/3 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週一,平日,2000W15,非參考日
2000/4/30 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週日,週末,2000W18,週日
2000/4/4 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週二,平日,2000W15,週2-4
2000/4/5 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週三,平日,2000W15,週2-4
2000/4/6 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週四,平日,2000W15,週2-4
2000/4/7 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週五,平日,2000W15,非參考日
2000/4/8 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週六,週末,2000W15,週六
2000/4/9 上午 12:00:00,2000,Q2,04,4月,2000-Apr,週日,週末,2000W15,週日
2000/5/1 上午 12:00:00,2000,Q2,05,5月,2000-May,週一,平日,2000W19,非參考日
2000/5/10 上午 12:00:00,2000,Q2,05,5月,2000-May,週三,平日,2000W20,週2-4
2000/5/11 上午 12:00:00,2000,Q2,05,5月,2000-May,週四,平日,2000W20,週2-4
2000/5/12 上午 12:00:00,2000,Q2,05,5月,2000-May,週五,平日,2000W20,非參考日
2000/5/13 上午 12:00:00,2000,Q2,05,5月,2000-May,週六,週末,2000W20,週六
2000/5/14 上午 12:00:00,2000,Q2,05,5月,2000-May,週日,週末,2000W20,週日
2000/5/15 上午 12:00:00,2000,Q2,05,5月,2000-May,週一,平日,2000W21,非參考日
2000/5/16 上午 12:00:00,2000,Q2,05,5月,2000-May,週二,平日,2000W21,週2-4
2000/5/17 上午 12:00:00,2000,Q2,05,5月,2000-May,週三,平日,2000W21,週2-4
2000/5/18 上午 12:00:00,2000,Q2,05,5月,2000-May,週四,平日,2000W21,週2-4
2000/5/19 上午 12:00:00,2000,Q2,05,5月,2000-May,週五,平日,2000W21,非參考日
2000/5/2 上午 12:00:00,2000,Q2,05,5月,2000-May,週二,平日,2000W19,週2-4
2000/5/20 上午 12:00:00,2000,Q2,05,5月,2000-May,週六,週末,2000W21,週六
2000/5/21 上午 12:00:00,2000,Q2,05,5月,2000-May,週日,週末,2000W21,週日
2000/5/22 上午 12:00:00,2000,Q2,05,5月,2000-May,週一,平日,2000W22,非參考日
2000/5/23 上午 12:00:00,2000,Q2,05,5月,2000-May,週二,平日,2000W22,週2-4
2000/5/24 上午 12:00:00,2000,Q2,05,5月,2000-May,週三,平日,2000W22,週2-4
2000/5/25 上午 12:00:00,2000,Q2,05,5月,2000-May,週四,平日,2000W22,週2-4
2000/5/26 上午 12:00:00,2000,Q2,05,5月,2000-May,週五,平日,2000W22,非參考日
2000/5/27 上午 12:00:00,2000,Q2,05,5月,2000-May,週六,週末,2000W22,週六
2000/5/28 上午 12:00:00,2000,Q2,05,5月,2000-May,週日,週末,2000W22,週日
2000/5/29 上午 12:00:00,2000,Q2,05,5月,2000-May,週一,平日,2000W23,非參考日
2000/5/3 上午 12:00:00,2000,Q2,05,5月,2000-May,週三,平日,2000W19,週2-4
2000/5/30 上午 12:00:00,2000,Q2,05,5月,2000-May,週二,平日,2000W23,週2-4
2000/5/31 上午 12:00:00,2000,Q2,05,5月,2000-May,週三,平日,2000W23,週2-4
2000/5/4 上午 12:00:00,2000,Q2,05,5月,2000-May,週四,平日,2000W19,週2-4
2000/5/5 上午 12:00:00,2000,Q2,05,5月,2000-May,週五,平日,2000W19,非參考日
2000/5/6 上午 12:00:00,2000,Q2,05,5月,2000-May,週六,週末,2000W19,週六
2000/5/7 上午 12:00:00,2000,Q2,05,5月,2000-May,週日,週末,2000W19,週日
2000/5/8 上午 12:00:00,2000,Q2,05,5月,2000-May,週一,平日,2000W20,非參考日
2000/5/9 上午 12:00:00,2000,Q2,05,5月,2000-May,週二,平日,2000W20,週2-4
2000/6/1 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週四,平日,2000W23,週2-4
2000/6/10 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週六,週末,2000W24,週六
2000/6/11 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週日,週末,2000W24,週日
2000/6/12 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週一,平日,2000W25,非參考日
2000/6/13 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週二,平日,2000W25,週2-4
2000/6/14 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週三,平日,2000W25,週2-4
2000/6/15 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週四,平日,2000W25,週2-4
2000/6/16 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週五,平日,2000W25,非參考日
2000/6/17 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週六,週末,2000W25,週六
2000/6/18 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週日,週末,2000W25,週日
2000/6/19 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週一,平日,2000W26,非參考日
2000/6/2 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週五,平日,2000W23,非參考日
2000/6/20 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週二,平日,2000W26,週2-4
2000/6/21 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週三,平日,2000W26,週2-4
2000/6/22 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週四,平日,2000W26,週2-4
2000/6/23 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週五,平日,2000W26,非參考日
2000/6/24 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週六,週末,2000W26,週六
2000/6/25 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週日,週末,2000W26,週日
2000/6/26 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週一,平日,2000W27,非參考日
2000/6/27 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週二,平日,2000W27,週2-4
2000/6/28 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週三,平日,2000W27,週2-4
2000/6/29 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週四,平日,2000W27,週2-4
2000/6/3 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週六,週末,2000W23,週六
2000/6/30 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週五,平日,2000W27,非參考日
2000/6/4 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週日,週末,2000W23,週日
2000/6/5 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週一,平日,2000W24,非參考日
2000/6/6 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週二,平日,2000W24,週2-4
2000/6/7 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週三,平日,2000W24,週2-4
2000/6/8 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週四,平日,2000W24,週2-4
2000/6/9 上午 12:00:00,2000,Q2,06,6月,2000-Jun,週五,平日,2000W24,非參考日
2000/7/1 上午 12:00:00,2000,Q3,07,7月,2000-Jul,週六,週末,2000W27,週六
2000/7/10 上午 12:00:00,2000,Q3,07,7月,2000-Jul,週一,平日,2000W29,非參考日
2000/7/11 上午 12:00:00,2000,Q3,07,7月,2000-Jul,週二,平日,2000W29,週2-4
